,model,MAE,Within20,Underdose_rate,Overdose_rate,Dose_category_accuracy,HR_MAE,HR_Within20,HR_Underdose_rate,HR_Overdose_rate,Hard_cases_count,Hard_cases_MAE,params
3,XGBOOST,8.303755200853399,0.45750452079566006,0.1980108499095841,0.3444846292947559,0.6763110307414105,6.994728228514677,0.47668393782383417,0.16580310880829016,0.35751295336787564,222,20.472352271380725,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.05}"
2,RF,8.570097597053826,0.4448462929475588,0.1844484629294756,0.3707052441229656,0.6735985533453888,7.930133895117667,0.45077720207253885,0.12435233160621761,0.42487046632124353,222,20.70918615853184,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 300}"
1,Linear,8.750794125323724,0.4385171790235081,0.25316455696202533,0.30831826401446655,0.6835443037974683,7.044452108389314,0.46632124352331605,0.2538860103626943,0.27979274611398963,222,21.571764854070786,
0,IWPC,14.36440659418298,0.07142857142857142,0.1717902350813743,0.0379746835443038,0.21247739602169982,11.553547476687939,0.12435233160621761,0.18134715025906736,0.031088082901554404,0,,
