,model,MAE,Within20,Underdose_rate,Overdose_rate,Dose_category_accuracy,HR_MAE,HR_Within20,HR_Underdose_rate,HR_Overdose_rate,Hard_cases_count,Hard_cases_MAE,params
3,XGBOOST,8.855309845025888,0.43037974683544306,0.20976491862567812,0.35985533453887886,0.6690777576853526,7.949764398169641,0.42487046632124353,0.16580310880829016,0.40932642487046633,222,21.30395695282532,"{'model__subsample': 0.8, 'model__reg_lambda': 3, 'model__reg_alpha': 0, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1}"
2,RF,8.92963090600845,0.4168173598553345,0.21609403254972875,0.3670886075949367,0.6699819168173599,8.207140283154304,0.40414507772020725,0.15544041450777202,0.44041450777202074,222,21.365601831759285,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
1,Linear,8.988936329922893,0.4177215189873418,0.2179023508137432,0.364376130198915,0.6772151898734177,7.733895965214754,0.40414507772020725,0.22279792746113988,0.37305699481865284,222,21.54224881503781,
0,IWPC,12.436307241631527,0.11482820976491863,0.310126582278481,0.020795660036166366,0.30018083182640143,10.783653297051801,0.09844559585492228,0.40932642487046633,0.02072538860103627,0,,
