,model,MAE,Within20,Underdose_rate,Overdose_rate,Dose_category_accuracy,HR_MAE,HR_Within20,HR_Underdose_rate,HR_Overdose_rate,Hard_cases_count,Hard_cases_MAE,params
3,XGBOOST,8.318052757618439,0.45840867992766726,0.1980108499095841,0.3435804701627486,0.6781193490054249,7.101160043706549,0.46632124352331605,0.16580310880829016,0.36787564766839376,222,20.46395908097963,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.05}"
2,RF,8.526707673964493,0.45207956600361665,0.18806509945750452,0.35985533453887886,0.6717902350813744,7.9240211634251025,0.44559585492227977,0.12435233160621761,0.43005181347150256,222,20.72974514640285,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 300}"
1,Linear,8.833602672871608,0.43128390596745025,0.24141048824593128,0.32730560578661844,0.6717902350813744,7.2157057209890745,0.46113989637305697,0.22279792746113988,0.3160621761658031,222,21.64257517794689,
0,IWPC,14.36440659418298,0.07142857142857142,0.1717902350813743,0.0379746835443038,0.21247739602169982,11.553547476687939,0.12435233160621761,0.18134715025906736,0.031088082901554404,0,,
