,model,MAE,Within20,Underdose_rate,Overdose_rate,Dose_category_accuracy,HR_MAE,HR_Within20,HR_Underdose_rate,HR_Overdose_rate,Hard_cases_count,Hard_cases_MAE,params
1,Linear,9.464987771469655,0.4177215189873418,0.23236889692585896,0.3499095840867993,0.6726943942133815,7.170309460780904,0.44761904761904764,0.21904761904761905,0.3333333333333333,222,24.236404303937324,
3,XGBOOST,9.503841295294047,0.4267631103074141,0.21609403254972875,0.35714285714285715,0.6618444846292948,7.279931071871803,0.45714285714285713,0.16666666666666666,0.3761904761904762,222,24.613641896118992,"{'model__subsample': 0.8, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1}"
2,RF,9.83699200681704,0.40054249547920434,0.22784810126582278,0.3716094032549729,0.6446654611211573,8.056126079319565,0.41904761904761906,0.1380952380952381,0.44285714285714284,222,25.251015258153906,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 300}"
0,IWPC,11.975610167281914,0.162748643761302,0.45027124773960214,0.04701627486437613,0.41862567811934903,10.857895176450109,0.10476190476190476,0.5523809523809524,0.02857142857142857,0,,
