Feature,Hard,Easy,Diff
weight_kg,85.44339622641509,76.00473933649289,9.4386568899222
height_cm,170.93029761904762,167.7914520547945,3.138845564253131
bmi,29.770510397516208,26.75917336215229,3.011337035363919
age_decade,5.3558558558558556,5.988662131519274,-0.6328062756634187
acetaminophen_or_paracetamol_tylenol,0.3229166666666667,0.1884498480243161,0.13446681864235058
current_smoker,0.2631578947368421,0.14049586776859505,0.12266202696824705
valve_replacement,0.20454545454545456,0.2757475083056478,-0.07120205376019326
cyp2c9,1.8513513513513513,1.7811085972850678,0.07024275406628355
azole,0.10810810810810811,0.03959276018099547,0.06851534792711264
diabetes,0.216,0.1734475374732334,0.04255246252676659
hypertension,0.23873873873873874,0.20588235294117646,0.03285638579756228
anti_fungal_azoles,0.0380952380952381,0.00546448087431694,0.03263075722092116
phenytoin,0.03153153153153153,0.004524886877828055,0.027006644653703473
congestive_heart_failure_and_or_cardiomyopathy,0.15,0.17647058823529413,-0.026470588235294135
cancer,0.06756756756756757,0.0418552036199095,0.025712363947658072
amiodarone,0.06306306306306306,0.08144796380090498,-0.018384900737841922
simvastatin,0.13963963963963963,0.12782805429864252,0.011811585340997105
carbamazepine,0.013513513513513514,0.003393665158371041,0.010119848355142473
aspirin,0.2345679012345679,0.22837370242214533,0.006194198812422558
sulfonamide_antibiotics,0.0,0.00546448087431694,-0.00546448087431694
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
fluconazole,0.0045045045045045045,0.0,0.0045045045045045045
macrolide_antibiotics,0.0,0.00273224043715847,-0.00273224043715847
ibuprofen,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
heart_failure,0.0,0.0,0.0
heart_valve_replacement,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
