,model,MAE,Within20,Underdose_rate,Overdose_rate,Dose_category_accuracy,HR_MAE,HR_Within20,HR_Underdose_rate,HR_Overdose_rate,Hard_cases_count,Hard_cases_MAE,params
3,XGBOOST,8.683921251314242,0.4267631103074141,0.20343580470162748,0.36980108499095843,0.6781193490054249,7.860166476748768,0.43005181347150256,0.14507772020725387,0.42487046632124353,222,20.84937196439451,"{'model__subsample': 0.7, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}"
1,Linear,8.860057980123209,0.43037974683544306,0.21338155515370705,0.3562386980108499,0.6844484629294756,7.7670978666509765,0.39896373056994816,0.24352331606217617,0.35751295336787564,222,21.048603217216844,
2,RF,8.960022940705304,0.41500904159132007,0.21880650994575046,0.36618444846292947,0.6681735985533453,8.327594425007005,0.40932642487046633,0.16062176165803108,0.43005181347150256,222,21.430838298523856,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 300}"
0,IWPC,12.436307241631527,0.11482820976491863,0.310126582278481,0.020795660036166366,0.30018083182640143,10.783653297051801,0.09844559585492228,0.40932642487046633,0.02072538860103627,0,,
